Wavelength (nm)	n	k
1539.501343	2.272309	0.012166
1542.976318	2.271634	0.012141
1546.452026	2.270964	0.012116
1549.928467	2.270298	0.012091
1553.405518	2.269636	0.012067
1556.883301	2.268979	0.012042
1560.361694	2.268325	0.012018
1563.84082	2.267675	0.011994
1567.320679	2.26703	0.01197
1570.801147	2.266388	0.011946
1574.282227	2.26575	0.011923
1577.764038	2.265116	0.011899
1581.246582	2.264486	0.011876
1584.729736	2.26386	0.011853
1588.213623	2.263237	0.01183
1591.69812	2.262619	0.011807
1595.18335	2.262004	0.011784
1598.669312	2.261393	0.011761
1602.155884	2.260786	0.011739
1605.643188	2.260182	0.011716
1609.131104	2.259582	0.011694
1612.619751	2.258985	0.011672
1616.109009	2.258392	0.01165
1619.598877	2.257803	0.011628
1623.0896	2.257217	0.011607
1626.580933	2.256634	0.011585
1630.072998	2.256055	0.011564
1633.565674	2.25548	0.011542
1637.05896	2.254908	0.011521
1640.553101	2.254339	0.0115
1644.047852	2.253774	0.011479
1647.543213	2.253212	0.011459
1651.039307	2.252653	0.011438
1654.536133	2.252098	0.011417
1658.033447	2.251545	0.011397
1661.531616	2.250997	0.011377
1665.030518	2.250451	0.011356
1668.529907	2.249908	0.011336
1672.030029	2.249369	0.011316
1675.530884	2.248833	0.011296
1679.032471	2.248299	0.011277
1682.534546	2.247769	0.011257
1686.037476	2.247242	0.011238
1689.541016	2.246718	0.011218
